filename;start_time;end_time;orbit
C03/2022/01/S5p_SO2-COBRA_22035.nc;2022-01-13 13:16:54.444;2022-01-13 13:22:38.837;22035
C03/2022/01/S5p_SO2-COBRA_22036.nc;2022-01-13 14:58:24.710;2022-01-13 15:02:38.384;22036
C03/2022/01/S5p_SO2-COBRA_22047.nc;2022-01-14 09:35:54.424;2022-01-14 09:40:34.138;22047
C03/2022/01/S5p_SO2-COBRA_22048.nc;2022-01-14 11:16:23.130;2022-01-14 11:21:52.403;22048
C03/2022/01/S5p_SO2-COBRA_22049.nc;2022-01-14 12:57:53.036;2022-01-14 13:03:39.948;22049
C03/2022/01/S5p_SO2-COBRA_22050.nc;2022-01-14 14:39:22.582;2022-01-14 14:44:05.655;22050
C03/2022/01/S5p_SO2-COBRA_22061.nc;2022-01-15 09:17:22.853;2022-01-15 09:21:41.568;22061
C03/2022/01/S5p_SO2-COBRA_22062.nc;2022-01-15 10:57:21.320;2022-01-15 11:03:11.592;22062
C03/2022/01/S5p_SO2-COBRA_22063.nc;2022-01-15 12:38:50.985;2022-01-15 12:44:41.258;22063
C03/2022/01/S5p_SO2-COBRA_22064.nc;2022-01-15 14:20:20.891;2022-01-15 14:25:35.044;22064
C03/2022/01/S5p_SO2-COBRA_22065.nc;2022-01-15 16:01:50.916;2022-01-15 16:04:25.473;22065
C03/2022/01/S5p_SO2-COBRA_22075.nc;2022-01-16 09:01:05.679;2022-01-16 09:02:42.277;22075
C03/2022/01/S5p_SO2-COBRA_22076.nc;2022-01-16 10:38:21.550;2022-01-16 10:44:13.502;22076
C03/2022/01/S5p_SO2-COBRA_22077.nc;2022-01-16 12:19:50.135;2022-01-16 12:25:42.927;22077
C03/2022/01/S5p_SO2-COBRA_22078.nc;2022-01-16 14:01:19.320;2022-01-16 14:06:51.952;22078
C03/2022/01/S5p_SO2-COBRA_22079.nc;2022-01-16 15:42:49.825;2022-01-16 15:46:15.620;22079
